Time Stamp,Voltage,Current,Temperature,Capacity
2018-11-03 18:25:00,4.17351,-0.15069,38.59318,-0.00253
2018-11-03 18:26:00,4.17082,-0.15325,38.48802,-0.00507
2018-11-03 18:27:00,4.16829,-0.15069,38.48802,-0.0076
2018-11-03 18:28:00,4.16593,-0.15325,38.48802,-0.01014
2018-11-03 18:29:00,4.16374,-0.15069,38.59318,-0.01268
2018-11-03 18:30:00,4.16155,-0.15069,38.48802,-0.01522
2018-11-03 18:31:00,4.15952,-0.15325,38.38286,-0.01775
2018-11-03 18:32:00,4.15733,-0.15325,38.48802,-0.02029
2018-11-03 18:33:00,4.15548,-0.15325,38.38286,-0.02283
2018-11-03 18:34:00,4.15362,-0.15325,38.48802,-0.02537
2018-11-03 18:35:00,4.15177,-0.15325,38.48802,-0.0279
2018-11-03 18:36:00,4.14992,-0.15325,38.48802,-0.03044
2018-11-03 18:37:00,4.14806,-0.15069,38.48802,-0.03297
2018-11-03 18:38:00,4.14638,-0.15069,38.48802,-0.03552
2018-11-03 18:39:00,4.14469,-0.15069,38.48802,-0.03805
2018-11-03 18:40:00,4.14317,-0.15325,38.48802,-0.04059
2018-11-03 18:41:00,4.14149,-0.15069,38.48802,-0.04313
2018-11-03 18:42:00,4.13997,-0.15069,38.48802,-0.04566
2018-11-03 18:43:00,4.13845,-0.15069,38.48802,-0.0482
2018-11-03 18:44:00,4.13694,-0.15325,38.59318,-0.05074
2018-11-03 18:45:00,4.13559,-0.15325,38.59318,-0.05327
2018-11-03 18:46:00,4.13407,-0.15325,38.48802,-0.05581
2018-11-03 18:47:00,4.13272,-0.15325,38.48802,-0.05835
2018-11-03 18:48:00,4.13154,-0.15069,38.38286,-0.06087
2018-11-03 18:49:00,4.13019,-0.15069,38.48802,-0.06341
2018-11-03 18:50:00,4.12885,-0.15069,38.59318,-0.06596
2018-11-03 18:51:00,4.12767,-0.15069,38.48802,-0.06849
2018-11-03 18:52:00,4.12649,-0.15325,38.48802,-0.07103
2018-11-03 18:53:00,4.12531,-0.15069,38.48802,-0.07356
2018-11-03 18:54:00,4.12413,-0.15069,38.48802,-0.0761
2018-11-03 18:55:00,4.12295,-0.15325,38.48802,-0.07864
2018-11-03 18:56:00,4.12193,-0.15325,38.38286,-0.08118
2018-11-03 18:57:00,4.12075,-0.15325,38.38286,-0.08372
2018-11-03 18:58:00,4.11974,-0.15069,38.48802,-0.08626
2018-11-03 18:59:00,4.1189,-0.15069,38.48802,-0.08879
2018-11-03 19:00:00,4.11789,-0.15069,38.48802,-0.09133
2018-11-03 19:01:00,4.11688,-0.15325,38.48802,-0.09387
2018-11-03 19:02:00,4.11587,-0.15325,38.59318,-0.09641
2018-11-03 19:03:00,4.11502,-0.15325,38.38286,-0.09895
2018-11-03 19:04:00,4.11401,-0.15069,38.48802,-0.10148
2018-11-03 19:05:00,4.11317,-0.15069,38.38286,-0.10402
2018-11-03 19:06:00,4.11233,-0.15325,38.48802,-0.10655
2018-11-03 19:07:00,4.11148,-0.15325,38.38286,-0.10909
2018-11-03 19:08:00,4.11064,-0.15325,38.48802,-0.11163
2018-11-03 19:09:00,4.1098,-0.15325,38.48802,-0.11417
2018-11-03 19:10:00,4.10912,-0.15069,38.48802,-0.11671
2018-11-03 19:11:00,4.10828,-0.15069,38.48802,-0.11925
2018-11-03 19:12:00,4.10761,-0.15325,38.59318,-0.12178
2018-11-03 19:13:00,4.10676,-0.15069,38.48802,-0.12432
2018-11-03 19:14:00,4.10609,-0.15069,38.48802,-0.12686
2018-11-03 19:15:00,4.10542,-0.15069,38.48802,-0.1294
2018-11-03 19:16:00,4.10474,-0.15069,38.48802,-0.13194
2018-11-03 19:17:00,4.10407,-0.15325,38.48802,-0.13447
2018-11-03 19:18:00,4.10339,-0.15069,38.48802,-0.13701
2018-11-03 19:19:00,4.10272,-0.15325,38.48802,-0.13955
2018-11-03 19:20:00,4.10221,-0.15325,38.48802,-0.14208
2018-11-03 19:21:00,4.10154,-0.15069,38.59318,-0.14462
2018-11-03 19:22:00,4.10086,-0.15325,38.48802,-0.14716
2018-11-03 19:23:00,4.10036,-0.15325,38.48802,-0.14969
2018-11-03 19:24:00,4.09985,-0.15069,38.48802,-0.15223
2018-11-03 19:25:00,4.09918,-0.15069,38.48802,-0.15477
2018-11-03 19:26:00,4.09867,-0.15325,38.48802,-0.15731
2018-11-03 19:27:00,4.09817,-0.15325,38.48802,-0.15985
2018-11-03 19:28:00,4.09766,-0.15069,38.48802,-0.16237
2018-11-03 19:29:00,4.09716,-0.15325,38.59318,-0.1649
2018-11-03 19:30:00,4.09665,-0.15325,38.59318,-0.16744
2018-11-03 19:31:00,4.09615,-0.15069,38.48802,-0.16998
2018-11-03 19:32:00,4.09564,-0.15069,38.48802,-0.17251
2018-11-03 19:33:00,4.09513,-0.15069,38.48802,-0.17505
2018-11-03 19:34:00,4.0948,-0.15325,38.48802,-0.17758
2018-11-03 19:35:00,4.09429,-0.15069,38.38286,-0.1801
2018-11-03 19:36:00,4.09379,-0.15325,38.48802,-0.18263
2018-11-03 19:37:00,4.09345,-0.15325,38.48802,-0.18517
2018-11-03 19:38:00,4.09294,-0.15325,38.48802,-0.18771
2018-11-03 19:39:00,4.09244,-0.15325,38.38286,-0.19024
2018-11-03 19:40:00,4.0921,-0.15069,38.48802,-0.19278
2018-11-03 19:41:00,4.09159,-0.15325,38.38286,-0.19533
2018-11-03 19:42:00,4.09126,-0.15069,38.48802,-0.19787
2018-11-03 19:43:00,4.09092,-0.15325,38.48802,-0.20041
2018-11-03 19:44:00,4.09041,-0.15325,38.48802,-0.20294
2018-11-03 19:45:00,4.09008,-0.15325,38.59318,-0.20548
2018-11-03 19:46:00,4.08974,-0.15069,38.48802,-0.20801
2018-11-03 19:47:00,4.0894,-0.15069,38.48802,-0.21054
2018-11-03 19:48:00,4.08907,-0.15325,38.48802,-0.21308
2018-11-03 19:49:00,4.08856,-0.15069,38.59318,-0.21562
2018-11-03 19:50:00,4.08822,-0.15325,38.48802,-0.21815
2018-11-03 19:51:00,4.08789,-0.15325,38.48802,-0.22069
2018-11-03 19:52:00,4.08755,-0.15325,38.48802,-0.22323
2018-11-03 19:53:00,4.08721,-0.15325,38.48802,-0.22576
2018-11-03 19:54:00,4.08687,-0.15325,38.48802,-0.2283
2018-11-03 19:55:00,4.08654,-0.15325,38.48802,-0.23083
2018-11-03 19:56:00,4.0862,-0.15325,38.38286,-0.23337
2018-11-03 19:57:00,4.08586,-0.15325,38.48802,-0.23591
2018-11-03 19:58:00,4.08569,-0.15069,38.48802,-0.23845
2018-11-03 19:59:00,4.08536,-0.15069,38.48802,-0.24099
2018-11-03 20:00:00,4.08502,-0.15069,38.48802,-0.24353
2018-11-03 20:01:00,4.08468,-0.15325,38.38286,-0.24607
2018-11-03 20:02:00,4.08435,-0.15325,38.48802,-0.2486
2018-11-03 20:03:00,4.08401,-0.15069,38.48802,-0.25114
2018-11-03 20:04:00,4.08384,-0.15325,38.48802,-0.25367
2018-11-03 20:05:00,4.0835,-0.15325,38.48802,-0.2562
2018-11-03 20:06:00,4.08317,-0.15325,38.59318,-0.25873
2018-11-03 20:07:00,4.083,-0.15069,38.38286,-0.26127
2018-11-03 20:08:00,4.08266,-0.15325,38.48802,-0.2638
2018-11-03 20:09:00,4.08232,-0.15069,38.48802,-0.26634
